PROJECT_ID,SAMPLE_ID,env_feature_input_by_investigator,env_material,env_material_input_by_investigator,FLAT_VAR_KEY,FLAT_VAR_VALUE
DCO_BOM,DCO_BOM_Av6--OL_KR2_596m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR2_596m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,pH,7.5
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,temperature,9.8
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR23_424m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,pH,7.9
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,temperature,9.8
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR3_380m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,pH,7.4
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,temperature,10.5
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR49_532m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,pH,7.9
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,temperature,10.8
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR5_457m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,pH,7.9
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,temperature,9.5
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR6_422m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,pH,7.7
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,temperature,10.6
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR9_468m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,pH,8.1
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,temperature,12
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Av6--OL_KR9_564m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,pH,7.8
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,temperature,13
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR1_609m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,pH,7.9
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,temperature,9
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR13_360m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,pH,8.6
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,temperature,12.9
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR2_596m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,pH,7.5
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,temperature,9.8
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR23_424m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,pH,7.3
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,temperature,16.8
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR29_801m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,pH,null
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,temperature,null
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,pH_input_by_investigator,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,temperature_input_by_investigator,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR3_380m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,pH,7.4
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,temperature,10.5
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR49_532m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,pH,7.9
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,temperature,10.8
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR5_457m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,pH,7.9
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,temperature,9.5
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR6_422m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,pH,7.7
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,temperature,10.6
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR9_468m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,latitude,61.24
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,longitude,21.44
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,latitude_longitude_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,blank_or_control,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,enrichment,FALSE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,include,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,pH,8.1
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,temperature,12
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,pH_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,temperature_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,env_biome,terrestrial biome
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,env_biome_input_by_investigator,TRUE
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,env_feature,borehole
DCO_BOM,DCO_BOM_Bv6--OL_KR9_564m,TRUE,water,TRUE,env_feature_input_by_investi,null
DCO_BRA,DCO_BRA_Av6--IODP_331_Site_C14B_1_1,TRUE,sediment,TRUE,latitude,27.790218
